月份,分公司,隊輔姓名,平台,搭乘日期,搭乘時段,上車地點,下車地點,實際車資,App叫車,接單等候,車輛抵達上車,服務態度,車內環境,行車安全,路線車資付款,整體評價,最滿意的地方,最需改善的地方
2026-06,桃園,桃園隊輔1,台灣大車隊,2026-06-03,平日離峰,桃園車站,桃園市政府,190,4,4,4,5,4,5,4,4,隊員主動確認目的地且行車平穩,App 車輛位置更新可再更即時
2026-06,桃園,桃園隊輔1,Uber,2026-06-04,平日離峰,桃園車站,桃園市政府,210,5,5,5,4,4,4,5,5,App 資訊清楚且付款流程順,駕駛互動較少
2026-06,新竹,新竹隊輔1,台灣大車隊,2026-06-05,平日尖峰,新竹火車站,清華大學,260,4,3,4,5,5,5,4,4,車內整潔且隊員服務親切,尖峰接單等待較久
2026-06,新竹,新竹隊輔1,Uber,2026-06-06,平日尖峰,新竹火車站,清華大學,285,5,4,5,4,4,4,5,4,預估抵達與車資資訊清楚,車內溫度偏低
2026-06,台中,台中隊輔1,台灣大車隊,2026-06-07,假日離峰,台中車站,勤美綠園道,235,4,4,4,4,5,5,4,4,路線熟悉且行車穩定,付款提醒可再清楚
2026-06,台中,台中隊輔1,Uber,2026-06-08,假日離峰,台中車站,勤美綠園道,250,5,5,5,4,4,4,5,5,App 路線與車資透明,駕駛未主動問候
2026-06,嘉義,嘉義隊輔1,台灣大車隊,2026-06-09,夜間,嘉義火車站,文化路夜市,150,4,4,4,5,4,5,4,5,夜間搭乘安心且隊員有禮貌,車輛外觀辨識可再加強
2026-06,嘉義,嘉義隊輔1,Uber,2026-06-10,夜間,嘉義火車站,文化路夜市,165,5,4,5,4,4,4,5,4,等候資訊清楚,上車後未再次確認目的地
2026-06,台南,台南隊輔1,台灣大車隊,2026-06-11,平日離峰,台南車站,安平老街,245,4,4,4,5,4,5,4,4,隊員親切且主動確認路線,App 介面資訊層次較多
2026-06,台南,台南隊輔1,Uber,2026-06-12,平日離峰,台南車站,安平老街,270,5,5,5,4,4,4,5,5,叫車流程快速順暢,駕駛服務溫度普通
2026-06,高雄,高雄隊輔1,台灣大車隊,2026-06-13,假日尖峰,高雄車站,駁二藝術特區,220,3,3,4,4,4,4,4,4,車內乾淨且目的地確認清楚,尖峰派車等待時間偏長
2026-06,高雄,高雄隊輔1,Uber,2026-06-14,假日尖峰,高雄車站,駁二藝術特區,245,5,4,5,4,4,4,5,4,車輛資訊容易辨識,假日車資較高
2026-06,花蓮,花蓮隊輔1,台灣大車隊,2026-06-15,平日離峰,花蓮車站,東大門夜市,140,4,4,4,5,5,5,4,5,隊員熟悉路線且服務穩定,無明顯缺點
2026-06,花蓮,花蓮隊輔1,Uber,2026-06-16,平日離峰,花蓮車站,東大門夜市,155,4,3,4,4,4,4,5,4,付款便利,可媒合車輛較少
2026-06,台東,台東隊輔1,台灣大車隊,2026-06-17,平日離峰,台東車站,鐵花村,130,4,4,4,5,5,5,4,5,服務態度佳且乘坐安心,App 資訊透明度可提升
2026-06,台東,台東隊輔1,Uber,2026-06-18,平日離峰,台東車站,鐵花村,145,4,3,4,4,4,4,5,4,付款與收據清楚,接單等待略久
